SID:010,2,NIC1D,RW08, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0840,    ,+,01300,     ,09000, ,   ,    ,   ,NIC,LC,P,N, , , , ;
SID:020,2,NIC1D,RW08,NIC,LC,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VADU1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,3200,    ,+,01700,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,VADU1A,RW32, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2440,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VADU1A,RW32,VADUS,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,2740,0605,2740,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VADU1B,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,0840,    ,+,01200,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,VADU1B,RW08, , , , ,    ,L,   ,CI, , , , , ,      ,    ,       ,2440,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,2,VADU1B,RW08,VADUS,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,2740,0605,2740,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VADU1C,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,1400,    ,+,01700,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,VADU1C,RW14, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,3040,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VADU1C,RW14,VADUS,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,2740,0605,2740,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VADU1D,RW26, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,2640,    ,+,01700,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,VADU1D,RW26, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,3040,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VADU1D,RW26,VADUS,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,2740,0605,2740,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIRN1A,RW32, , , , ,    , ,   ,CD, ,NIC,LC,D, ,      ,    ,    ,3200,0040, ,     ,     ,05000, ,   ,    ,   ,GIRNE,LC,D, , , , , ;
SID:020,2,GIRN1A,RW32, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,0280,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIRN1A,RW32,GIRNE,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,0031,0294,0030,0294, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIRN1B,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,0840,    ,+,01200,     ,09000, ,   ,    ,   ,GIRNE,LC,D, , , , , ;
SID:020,2,GIRN1B,RW08, , , , ,    ,L,   ,CI, , , , , ,      ,    ,       ,3330,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,2,GIRN1B,RW08,GIRNE,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,0031,0294,0030,0294, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIRN1C,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,1400,    ,+,01700,     ,09000, ,   ,    ,   ,GIRNE,LC,D, , , , , ;
SID:020,1,GIRN1C,RW14,NIC,LC,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIRN1C,RW14,GIRNE,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,0031,0294,0030,0294, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIRN1D,RW26, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,2640,    ,+,01700,     ,09000, ,   ,    ,   ,GIRNE,LC,D, , , , , ;
SID:020,2,GIRN1D,RW26, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,0280,    ,+,5000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIRN1D,RW26,GIRNE,LC,E,A,EEC , ,   ,CF, ,NIC,LC,D, ,      ,0031,0294,0030,0294, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LCA1A,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,3200,    ,+,01700,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,LCA1A,RW32, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LCA1A,RW32,LCA,LC,E,A,VEC , ,   ,CF, ,LCA,LC,D, ,      ,0000,0000,1200,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LCA1B,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,0840,    ,+,01200,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,1,LCA1B,RW08,NIC,LC,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,2,LCA1B,RW08, , , , ,    ,L,   ,CI, , , , , ,      ,    ,       ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LCA1B,RW08,LCA,LC,E,A,VEC , ,   ,CF, ,LCA,LC,D, ,      ,0000,0000,1200,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LCA1C,RW14, , , , ,    , ,   ,CA, , , , , ,      ,    ,       ,1400,    ,+,01700,     ,09000, ,   ,    ,   ,LCNC,LC,D, , , , , ;
SID:020,2,LCA1C,RW14, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LCA1C,RW14,LCA,LC,E,A,VEC , ,   ,CF, ,LCA,LC,D, ,      ,0000,0000,1200,0605, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
